,k2=600,,,,,,k2=900,,,,,
,LS,LAV,SVR,MLP,AsyLAV,AsySVR,LS,LAV,SVR,MLP,AsyLAV,AsySVR
86,-93.2563609,-31.68301467,-49.60366476,45.30205806,137.5791391,154.4676812,-93.2563609,-31.68301467,-49.60366476,45.30205806,155.5440362,168.1085734
87,-112.1573736,-90.10350666,-119.4348622,-62.44951765,52.40534849,65.76598085,-112.1573736,-90.10350666,-119.4348622,-62.44951765,69.10895461,93.37449699
88,273.334414,268.8451254,230.8034956,96.06686085,427.507194,434.0433107,273.334414,268.8451254,230.8034956,96.06686085,440.2394623,469.4298793
89,156.1155991,167.4949513,175.1820856,54.88986849,341.8369468,342.0840773,156.1155991,167.4949513,175.1820856,54.88986849,346.2994729,368.6576654
90,249.1420714,256.8483158,269.2914111,110.9553569,437.8868594,434.7993233,249.1420714,256.8483158,269.2914111,110.9553569,437.8056468,453.0375675
91,102.2222382,138.3833346,127.18441,41.49074928,330.8862687,329.1353109,102.2222382,138.3833346,127.18441,41.49074928,323.011549,321.785035
92,56.69365109,71.38001248,63.75684149,19.29611433,262.4203175,262.8210257,56.69365109,71.38001248,63.75684149,19.29611433,261.5166801,254.2689427
93,-203.414254,-180.7933266,-181.6109544,-82.2175537,-27.61362417,-22.92596678,-203.414254,-180.7933266,-181.6109544,-82.2175537,-23.30220408,-38.19823821
94,47.11733845,3.77207911,36.80130813,-62.96330673,148.3313201,153.153495,47.11733845,3.77207911,36.80130813,-62.96330673,171.6834668,163.8528042
95,-90.9253798,-91.50381067,-88.35912057,-116.6457819,67.55482591,76.15023883,-90.9253798,-91.50381067,-88.35912057,-116.6457819,92.23805937,80.99588783
96,-94.23990776,-109.7686025,-118.1590253,-129.7699544,51.19287321,55.57942749,-94.23990776,-109.7686025,-118.1590253,-129.7699544,94.70945562,96.44527643
97,81.64151935,22.01799973,50.91369096,-13.14580487,246.7368554,245.5007105,81.64151935,22.01799973,50.91369096,-13.14580487,292.8438767,305.482438
98,169.6905355,111.4378763,131.3390772,26.19858792,375.4820888,367.0151908,169.6905355,111.4378763,131.3390772,26.19858792,418.671727,434.5980996
99,186.1270207,138.1650635,174.5910164,62.80632784,388.797649,381.3500455,186.1270207,138.1650635,174.5910164,62.80632784,419.8129976,428.5107951
100,-108.7328635,-115.9384773,-89.81149352,-48.2506274,122.2545539,117.2991934,-108.7328635,-115.9384773,-89.81149352,-48.2506274,134.9584407,132.552883
101,-244.8873061,-274.0654938,-250.4254684,-95.77308199,-44.26263671,-45.88537997,-244.8873061,-274.0654938,-250.4254684,-95.77308199,-26.03695554,-29.00649773
102,-199.4434711,-203.5599435,-219.6540984,-33.47590189,30.63182266,29.41883849,-199.4434711,-203.5599435,-219.6540984,-33.47590189,56.11781862,56.85361088
103,-202.9148319,-270.6616205,-234.176149,-81.49572353,5.55994389,0.275674003,-202.9148319,-270.6616205,-234.176149,-81.49572353,61.70798944,80.69030513
